event,home,away,campaign
17163,WI50307,no opponent ID given,2017Week50Basketball
16537,OH1604,OH1495,2017Week50Basketball
16925,TX12723,AR18624,2017Week50Basketball
16926,TX12692,TX25078,2017Week50Basketball
16546,GA7050,GA7045,2017Week50Basketball
16560,VA12891,VA12884,2017Week50Basketball
19228,GA4901,GA4885,2017Week50Basketball
16927,TX12699,TX12721,2017Week50Basketball
16759,GA7267,GA7255,2017Week50Basketball
16767,GA7273,no opponent ID given,2017Week50Basketball
16752,MS20008,no opponent ID given,2017Week50Basketball
16559,VA12891,VA12879,2017Week50Basketball
16820,CA19938,CA19916,2017Week50Basketball
16605,GA7106,GA7195,2017Week50Basketball
16800,MS20008,MS20003,2017Week50Soccer
17808,IN10931,IN1844,2017Week50Basketball
17877,CO11734,CO16290,2017Week50Basketball
17837,SC2017,no opponent ID given,2017Week50Wrestling 
17838,SC2017,SC2716,2017Week50Basketball
14726,FL17050,FL2461,2017Week50Soccer
12713,FL17955,FL17925,2017Week50Girls Basketball
17884,FL17955,no opponent ID given,2017Week50Soccer
19223,FL68236,no opponent ID given,2017Week50Dance Showcase
19233,AL1761,no opponent ID given,2017Week50Merchandise
14681,GA15373,GA15365,2017Week50Basketball
17905,MI9915,MI9953,2017Week50Basketball
17907,MI9915,MI9966,2017Week50Basketball
17930,AZ11997,AZ12778,2017Week50Basketball
17987,CO16390,no opponent ID given,2017Week50Musical Performance 
17914,MI4085,MI4532,2017Week50Basketball
18007,FL777,FL2076,2017Week50Basketball
18014,FL777,FL1884,2017Week50Soccer
17984,CO16390,no opponent ID given,2017Week50Performing Arts
18011,FL777,FL1884,2017Week50Basketball
18005,FL777,FL1630,2017Week50Basketball
18009,AL1076,AL2565,2017Week50Basketball
18033,CA68183,no opponent ID given,2017Week50Women's National Team Series
18034,CA68183,no opponent ID given,2017Week50Women's National Team Series
18035,CA68183,no opponent ID given,2017Week50Women's National Team Series
13555,NC12393,NC1471,2017Week50Basketball
18072,FL68236,FL5841,2017Week50Basketball
13556,NC12393,NC688,2017Week50Basketball
18101,GA15373,GA15365,2017Week50Basketball
